Feature question in English	Value set	Clarifying comments to outsiders (from the proposal by Jeremy, Hannah and Hedvig)	Value	Suggested standardised comments in dropdown menu form	Source	Comment	Relevant unit(s)	Function	Formal means	Standardised comments list	Feature_ID	Feature Domain	Contributed_Datapoints
Can predicative possession be formed with a conjunctional possessive?	1: present, 0: absent	"Conjunctional possessive means that the possessor is the subject, the predicate is an existential/locational/copula verb and the possessum is marked by an element marking simultaneity between clauses, or ""also/too"", or subordinating conjunction (""when/while""), or coordinating particle (""and""), or a comitative marker {""with""). The conjugational/comitative/coordination/topical/simultaneity marking need not be bound to the possessum-NP, but it needs to mark the possessum-NP, i.e. dependent versus head-marking is irrelevant."	1		Lameen Souag (p.c. 2023)	Comitative may be used for contingent possession, e.g., 'did-ək əttalfon ənn-əs?' (with-2msg telephone gen-2msg) 'Do you have his number (on you)?'.	verb, auxiliary, bound person form, adposition, case marker	predicative possession, argument marking - oblique, predication	affixation and cliticization, case marking, bound person marking, phonologically independent item, specialized construction, declension, conjugation	1	GB256		JR
Can polar interrogation be marked by intonation only?	1: present, 0: absent	"There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative. Intonation needs to be separated from tone because tone can be considered as a particle. intonation is super segmental whereas tone is bound to a constituent (even ""underlying"" tones are bound). If polar interrogation is expressed by a particle with a certain tone, then it is marked by a particle and not by intonation. The issue becomes more complicated if we consider cases where a particle with tone has suffixed and finally merged with the preceding element leaving nothing but the tone left. These are sometimes called “tonal suffixes”. In those cases the tone or intonation would attach to anything preceding, making it hard to distinguish from intonation without the entire phrase contour.
  Intonation is on larger units than a syllable, tone is on one syllable only. I.e. if it’s only a tone change in the last syllable it is not intonation but a tonal affix (most likely the remains of an old suffix). This triggers yes (1) in F261 and no (0) in F257. Keep in mind that the descriptor might mark a change of pitch only on the last syllable, but in reality the pitch change could be evident earlier.There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative. Intonation needs to be separated from tone because tone can be considered as a particle. intonation is super segmental whereas tone is bound to a constituent (even ""underlying"" tones are bound). If polar interrogation is expressed by a particle with a certain tone, then it is marked by a particle and not by intonation. The issue becomes more complicated if we consider cases where a particle with tone has suffixed and finally merged with the preceding element leaving nothing but the tone left. These are sometimes called “tonal suffixes”. In those cases the tone or intonation would attach to anything preceding, making it hard to distinguish from intonation without the entire phrase contour.
  Intonation is on larger units than a syllable, tone is on one syllable only. I.e. if it’s only a tone change in the last syllable it is not intonation but a tonal affix (most likely the remains of an old suffix). This triggers yes (1) in F261 and no (0) in F257. Keep in mind that the descriptor might mark a change of pitch only on the last syllable, but in reality the pitch change could be evident earlier.There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative. Intonation needs to be separated from tone because tone can be considered as a particle. intonation is super segmental whereas tone is bound to a constituent (even ""underlying"" tones are bound). If polar interrogation is expressed by a particle with a certain tone, then it is marked by a particle and not by intonation. The issue becomes more complicated if we consider cases where a particle with tone has suffixed and finally merged with the preceding element leaving nothing but the tone left. These are sometimes called “tonal suffixes”. In those cases the tone or intonation would attach to anything preceding, making it hard to distinguish from intonation without the entire phrase contour.
  Intonation is on larger units than a syllable, tone is on one syllable only. I.e. if it’s only a tone change in the last syllable it is not intonation but a tonal affix (most likely the remains of an old suffix). This triggers yes (1) in F261 and no (0) in F257. Keep in mind that the descriptor might mark a change of pitch only on the last syllable, but in reality the pitch change could be evident earlier.There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative. Intonation needs to be separated from tone because tone can be considered as a particle. intonation is super segmental whereas tone is bound to a constituent (even ""underlying"" tones are bound). If polar interrogation is expressed by a particle with a certain tone, then it is marked by a particle and not by intonation. The issue becomes more complicated if we consider cases where a particle with tone has suffixed and finally merged with the preceding element leaving nothing but the tone left. These are sometimes called “tonal suffixes”. In those cases the tone or intonation would attach to anything preceding, making it hard to distinguish from intonation without the entire phrase contour.
  Intonation is on larger units than a syllable, tone is on one syllable only. I.e. if it’s only a tone change in the last syllable it is not intonation but a tonal affix (most likely the remains of an old suffix). This triggers yes (1) in F261 and no (0) in F257. Keep in mind that the descriptor might mark a change of pitch only on the last syllable, but in reality the pitch change could be evident earlier."	1		Vycichl (2005:213); Souag (2010:452); Lameen Souag (p.c. 2023)	The phrase 'na ula', meaning 'or no?', may be placed clause-finally as a question tag.	sentence, clause	interrogation	intonation	2	GB257		JR
Can polar interrogation be marked by change in word order only?	1: present, 0: absent	There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative.	0		Vycichl (2005:213)	The phrase 'na ula', meaning 'or no?', may be placed clause-finally as a question tag.	clause	interrogation	word order	1	GB260		JR
Is there a clause-initial polar interrogative particle?	1: present, 0: absent		0		Vycichl (2005:213)	The phrase 'na ula', meaning 'or no?', may be placed clause-finally as a question tag.	clause	interrogation	phonologically independent item	2	GB262		JR
Is there a clause-final polar interrogative particle?	1: present, 0: absent		1		Souag (2010:452)	The phrase 'na ula', meaning 'or no?', may be placed clause-finally as a question tag.	clause	interrogation	phonologically independent item	2	GB263		JR
Is there a clause-medial polar interrogative particle?	1: present, 0: absent		0		Vycichl (2005:213)	The phrase 'na ula', meaning 'or no?', may be placed clause-finally as a question tag.	clause	interrogation	phonologically independent item	2	GB264		JR
"Can comparative constructions be construed with a verb meaning ""surpass"" or ""exceed""?"	1: present, 0: absent	"That which is being compared is the subject, the standard is the direct object and there are two predicates: one expressing surpass/exceed and the other carrying the relevant lexical information about the property (i.e. ""Ronald exceed be-tall Julia""). The order of these predicates is not relevant for this feature, nor whether the property word is a verb or an adjective. The predicate expressing surpass/exceed must also have functions besides comparison, typically locational functions such as ""be in front of"" etc."	1		Vycichl (2005:212); Lameen Souag (p.c. 2023)	The standard marker in comparative constructions is genitive marker 'n'.	clause, verb, adjective	comparison	phonologically independent item	1	GB265		JR
Can comparative constructions be construed with a locative comparative?	1: present, 0: absent	"The standard NP is invariably constructed with a marker that also has a locational/adverbial function. Please note that benefactive markers are included here and that the marker of the property word is irrelevant for this feature (i.e. ""tall-er"")."	0		Souag (2010:159)		clause, verb, bound person form, case marker, adposition, adjective	comparison, argument marking - oblique	affixation and cliticization, case marking, bound person marking, phonologically independent item, specialized construction, declension, conjugation	1	GB266		
Can comparative constructions be construed with conjoined clauses?	1: present, 0: absent	"Two clauses, one with the standard-NP and one with the comparee-NP. They have the same function in the clauses (i.e. ""She is nice, he is not nice"")."	0		Souag (2010:159)		sentence, clause, verb, adjective	comparison	specialized construction	1	GB270		
Can comparative constructions be construed with a particle?	1: present, 0: absent	"The particle comparative construction is defined by the particle that is marking the standard. It is crucial that it is not the same as an exceed-verb nor locational/existential, i.e. falling into the categories of 265-277. The particle can have other functions though; they are often but not necessarily temporal adverbs or conjunctions. It is irrelevant whether the particle is phonologically free or not or whether it agrees or triggers agreement in case, gender etc. It is highly likely that particle-comparative constructions grammaticalize from constructions of conjoined clauses. An example of a particle comparative would be the Germanic languages, such as English ""than"". Note that the marking of the property word is not relevant here (i.e. ""tall-er"")."	1		Souag (2010:159)	The standard marker in comparative constructions is genitive marker 'n'.	clause, verb, adjective, particle	comparison	clause, phonologically independent item	1	GB273		JR
Is the element marking the property concept in the comparative construction marked by an affix indicating comparision or grading?	1: present, 0: absent	"Is there a comparative form of the property word (i.e. ""tall-er""). This feature only concerns constructions where the standard is present, i.e. not ""Maria is tall""."	0		Vycichl (2005:212); Lameen Souag (p.c. 2023)	Property words in comparative constructions are marked with non-concatenative pattern morphology.	sentence, clause, verb, adjective, particle	comparison	affixation and cliticization, infixation, conjugation, declension	2	GB275		JR
Is the element marking the property concept in the comparative construction marked by a sepeare degree word indicating comparision or grading?	1: present, 0: absent	"Is there a comparative form of the property word (i.e. ""plus grand""). This feature only concerns constructions where the standard is present, i.e. not ""Maria is tall""."	1		Souag (2010:160-161); Vycichl (2005:212); Lameen Souag (p.c. 2023)	Some adjectives cannot take the usual non-concatenative pattern morphology. These adjectives are marked with non-bound comparative degree marking adverb 'tumm'.	sentence, clause, verb, adjective, particle	comparison	phonologically independent item	2	GB276		JR
Is there variation in conflation of core participants based on TAM distinctions?	1: present, 0: absent		?		Souag (2010:1-519)	Not discussed.	noun, pronoun, NP, clause, case marker, bound person form, verb, adposition, auxiliary	argument marking - core, TAM	paradigm, bound person marking, case marking, phonologically independent item, none, specialized construction, word order	1	GB279		
Is there variation in conflation of core participants based on clause type, e.g. main vs. subordinate?	1: present, 0: absent		?		Souag (2010:1-519)	Not discussed.	noun, pronoun, NP, clause, case marker, bound person form, verb	argument marking - core, subordination, relativization	paradigm, bound person marking, case marking, phonologically independent item, none, specialized construction, word order	1	GB281		
Can polar interrogation be marked by a question particle and verbal morphology?	1: present, 0: absent	Is an obligatory combination of a particle and verbal morphology within a single construction possible for polar interrogation? Note that tone is not considered a particle. There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative.	0		Vycichl (2005:213)		sentence, clause, verb, particle	interrogation	conjugation, phonologically independent item, specialized construction	2	GB285		
Can polar interrogation be marked by verbal morphology only?	1: present, 0: absent	There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative.	0		Vycichl (2005:213)		sentence, clause, verb	interrogation	conjugation	2	GB286		
Can polar interrogation be marked by tone?	1: present, 0: absent	This feature deals with the presence or absence of a construction where the only difference between the interrogative and the declarative is marked by tone. In contrast to the feature in WALS, this does not mean that this is the only strategy in the language, but that this is the only marker in this construction.	0		Vycichl (2005:213)		sentence, clause	interrogation	intonation	2	GB291		
Is there a morphosyntactically definable class of ideophones (beyond sound)?	1: present, 0: absent	Ideophones are marked words that depicts sensory imagery. 'Marked' here means standing out through unusual phonological or morphological form or structure, as compared to more general patterns in this language's lexicon.	0		Souag (2010:1-519)		ideophone	iconicity	affixation and cliticization, infixation, agreement, tone, reduplication, suppletion, alternation, case marking, specialized construction, bound person marking, conjugation, declension	1	GB296		
Can polar interrogation be marked by a construction of the type “V Neg V”?	1: present, 0: absent	This feature concerns polar interrogative constructions where the main verb is repeated, one time in the affirmative form and another in the negated. This is independent of the negation marking system of the language, it may be by suffixes, auxiliaries, suppletion etc. The negated form need not be in second place, it could be first as well.	0		Vycichl (2005:213)		sentence, clause, verb, negator	interrogation, negation	conjugation, phonologically independent item, specialized construction, word order, reduplication	1	GB297		
Can standard negation be marked by negative auxiliaries?	1: present, 0: absent	This question concerns negative words that function as auxiliaries, in that they inflect as verbs but occur only with other verbs.	0		Souag (2010:435-437)		negator, verb, auxiliary	negation	phonologically independent item, specialized construction	2	GB298		
Can standard negation be marked by a freestanding particle?	1: present, 0: absent	This question should be answered yes (1) if negation is marked by a phonologically independent, non-inflected word (particle), regardless of whether any other strategy can also be used to mark negation (e.g. a language that uses double marking of negation though both a particle AND a verbal affix would be coded as yes (1)).	1		Souag (2010:435-437)		negator, verb	negation	phonologically independent item	1	GB299		
Is there a verb for the function 'give' that is suppletive for any grammatical category?	1: present, 0: absent		0		Souag (2010:42); Souag (2013:51-52); Lameen Souag (p.c. 2023)	The stem form variation for the verb 'give' is weak suppletion.	verb	verb classification	paradigm, suppletion	1	GB300		JR
Does the language have inclusory constructions productively?	1: present, 0: absent	Definition: a plural NP that would be expressed in English by an expression of the type ‘Harald and I talked’ or ‘Harald and us talked’ is expressed by a construction of the type [superset: pronoun] [set: noun/Proper noun], e.g. ‘we.two Harald talked’ / ‘we Harald talked’, respectively. Note: In some languages this would be expressed by associative duals/plurals, e.g. Harald-AssDu / AssPl talked’ for ‘[Someone and] Harald talked’, though this tends to be used for non-first-person groups only. It is structurally different in that no part of the associative dual/plural construction refers directly to the superset. Clarification: the element expressing the superset could be either a free pronoun or a bound pronoun. Example (Bininj Gun-wok): Bulanj ngani-wam / [Name] 1duExcl-goPP / ‘Bulanj and I went.’	0		Souag (2010:1-519)		clause, pronoun	number	paradigm, declension, conjugation, bound person marking, specialized construction	1	GB301		
Is there a dedicated, obligatory and productive construction that marks passive voice, not morphologically on the verb nor on the A argument?	1: present, 0: absent		0		Souag (2010:1-519)		clause	valency change	phonologically independent item	2	GB302		
Is there a dedicated, obligatory, productive construction that marks antipassive voice, not morphologically on the verb?	1: present, 0: absent		0		Souag (2010:1-519)		clause	valency change	phonologically independent item	2	GB303		
Can the A argument be overtly expressed in a passive clause or be overtly marked to signal a passive clause?	1: present, 0: absent	"For languages with multiple passive constructions (e.g. ""personal"" and ""impersonal"" passives) this question should be answered yes (1) if the A argument can be overtly expressed in any of these types of passive clauses."	?		Souag (2010:1-519)	Not discussed.	clause, noun, NP	valency change, argument marking - core	phonologically independent item	1	GB304		
Are there phonologically independent reflexive pronouns?	1: present, 0: absent		1		Vycichl (2005:221)		pronoun	valency change	paradigm	2	GB305		
Are there reciprocal pronouns that are not-bipartite?	1: present, 0: absent		1		Lameen Souag (p.c. 2023)	Siwi uses ajar-sən “between-3PL” to mean “each other”, e.g. yəẓṛina ajar-sən “they saw each other”, itərrafən af ajarsən “they fear each other”.	pronoun	valency change	paradigm	1	GB306		JR
Are there bipartite reciprocal pronouns?	1: present, 0: absent		0		Souag (2010:1-519)		pronoun	valency change	paradigm	1	GB307		
Can tense be marked by a productive, obligatory and dedicated construction that is not morphologically bound to the verb?	1: present, 0: absent	"This question aims at capturing productive, obligatory and dedicated marking of tense, where the marker is not on the verb (affixation, tonal marking, suppletion, or any other strategy that is phonologically dependent on the verb root) but by means of a phonologically free standing element. This feature relates back to an old feature that used the term ""auxiliary"". That term is avoided here so as to not restrict the category in a potentially inconsistent way. The marker that this feature concerns should preferably be one continuous unit, if the construction is not-continuous mark that in the comments."	0		Vycichl (2005:1-258)		verb, auxiliary	TAM	phonologically independent item	2	GB308		
Are there multiple past or future tenses, distinguishing distance from Time of Reference, in any form?	1: present, 0: absent	This question aims at capturing productive paradigms of tense, where the marking of tense is not accomplished by affixation, tonal marking, suppletion, or any other strategy that is phonologically dependent on the verb root. See Feature 85 for further clarification.	0		Vycichl (2005:230); Souag (193-195); Lameen Souag (p.c. 2023)		verb	TAM	conjugation	2	GB309		JR
Can aspect be marked by a productive, obligatory and dedicated construction that is not morphologically bound to the verb?	1: present, 0: absent	"This question aims at capturing productive, obligatory and dedicated marking of aspect, where the marker is not on the verb (affixation, tonal marking, suppletion, or any other strategy that is phonologically dependent on the verb root) but by means of a phonologically free standing element. This feature relates back to an old feature that used the term ""auxiliary"". That term is avoided here so as to not restrict the category in a potentially inconsistent way. The marker that this feature concerns should preferably be one continuous unit, if the construction is not-continuous mark that in the comments. Please take notice that 310 and 86 are not covering exactly the same functions, there are more aspects than punctual/continuous."	0		Vycichl (2005:1-258)		verb, auxiliary	TAM	phonologically independent item	2	GB310		
Can mood be marked by a productive, obligatory and dedicated construction that is not morphologically bound to the verb?	1: present, 0: absent	"This question aims at capturing productive, obligatory and dedicated marking of mood, where the marker is not on the verb (affixation, tonal marking, suppletion, or any other strategy that is phonologically dependent on the verb root) but by means of a phonologically free standing element. This feature relates back to an old feature that used the term ""auxiliary"". That term is avoided here so as to not restrict the category in a potentially inconsistent way. The marker that this feature concerns should preferably be one continuous unit, if the construction is not-continuous mark that in the comments."	0		Vycichl (2005:1-258)		verb, auxiliary	TAM	phonologically independent item	2	GB311		
Can modal distinctions be marked on the verb, productively, dedicatedly and obligatorily?	1: present, 0: absent		0		Vycichl (2005:230); Souag (2010:385-392); Lameen Souag (p.c. 2023)		verb	TAM	conjugation	2	GB312		JR
Are there possessive pronouns?	1: present, 0: absent		1		Vycichl (2005:217-219)		pronoun	attributive possession, attribution	paradigm, declension	1	GB313		
Can augmentative be marked productively by a system of nominal classification?	1: present, 0: absent	Can augmentative function (i.e. larger size) be marked by a shift of nominal class? This needs to be a productive pattern. The system of nominal modification referred to in this question is not restricted to gender/noun class systems only. Augmentative function often also entails other meanings, but it needs to minimally encode larger size.	0		Souag (2010:61, 66); Lameen Souag (p.c. 2023)	Expression of augmentative/diminutive meaning by a shift in gender/noun class is not productive in Siwi.	noun, NP	augmentative, nominal classification, derivation	affixation and cliticization, infixation, tone, reduplication, suppletion, alternation, agreement, declension	1	GB314		JR
Can diminutive be marked productively by a system of nominal classification?	1: present, 0: absent	Can diminutive function (i.e. smaller size) be marked by a shift of nominal class? This needs to be a productive pattern. The system of nominal modification referred to in this question is not restricted to gender/noun class systems only. Diminutive function often also entails other meanings, but it needs to minimally encode smaller size.	0		Vycichl (2005:199); Souag (2010:61, 66); Lameen Souag (p.c. 2023)	Expression of augmentative/diminutive meaning by a shift in gender/noun class is not productive in Siwi.	noun, NP	diminutive, nominal classification, derivation	affixation and cliticization, infixation, tone, reduplication, suppletion, alternation, agreement, declension	1	GB315		JR
Can singular number of a noun be marked by a productive, obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?	1: present, 0: absent	This question is concerned with constructions that must be dedicated to singular marking.	0		Souag (2010:1-519)		noun, NP	number	phonologically independent item	2	GB316		
Can dual number of a noun be marked by a productive, obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?	1: present, 0: absent	This question is concerned with constructions that must be dedicated to dual marking.	0		Souag (2010:1-519)		noun, NP	number	phonologically independent item	2	GB317		
Can plural number of a noun be marked by a productive, obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?	1: present, 0: absent	This question is concerned with constructions that must be dedicated to plural marking.	0		Souag (2010:1-519)		noun, NP	number	phonologically independent item	2	GB318		
Can trial number of a noun be marked by a productive, obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?	1: present, 0: absent	This question is concerned with constructions that must be dedicated to trial marking.	0		Souag (2010:1-519)		noun, NP	number	phonologically independent item	2	GB319		
Can paucal number of a noun be marked by a productive, obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?	1: present, 0: absent	This question is concerned with constructions that must be dedicated to paucal marking.	0		Vycichl (2005:198)		noun, NP	number	phonologically independent item	2	GB320		
Is there an open class of noun stems that are assigned to gender/noun class categories arbitrarily?	1: present, 0: absent		0		Souag (2010:61-67)		noun	nominal classification	paradigm	2	GB321		
Does the language encode direct evidentiality (perceived with senses)?	1: present, 0: absent	This question is concerned with the marking of evidentiality related to the speaker's direct sensory evidence for some event or action. Visual evidence is frequently encoded with a direct evidential, however this type of evidentiality may also include auditory or other non-visual categories of sensory evidence. This question should be answered yes (1) if the language has a single direct evidential or any number of sensory evidentials.	0		Souag (2010:1-519)		verb	TAM	conjugation, phonologically independent item	1	GB322		
Does the language encode indirect evidentiality (hearsay, inference, etc.)?	1: present, 0: absent	This question is concerned with the marking of evidentiality related to the speaker's indirect, non-sensory evidence for some event or action. Indirect evidentiality usually involves inference from physical evidence or second-hand knowledge such as hearsay. This question should be answered yes (1) if there is a single category of indirect evidentiality or any number of inferential or reportative evidential categories.	0		Souag (2010:1-519)		verb	TAM	conjugation, phonologically independent item	1	GB323		
Are some content interrogatives (who?, what?, etc.) expressed in interrogative verbs?	1: present, 0: absent	"interrogative verbs are ""special verbs that include a semantic wh-element"". The semantic content of interrogative verb roots includes an element equivalent to a content question (also called a wh- element). This does not include verbs of asking or interrogative forms created through affixation of interrogative markers to non-interrogative verb roots."	0		Vycichl (2005:246)		sentence, clause, pronoun, verb	interrogation	affixation and cliticization, infixation, specialized construction, conjugation	1	GB324		
Is there a count/mass distinction in content interrogatives (e.g. English how many vs. how much)?	1: present, 0: absent		0		Souag (2010:453)		verb, pronoun	interrogation	declension, phonologically independent item, paradigm	1	GB325		
Do (nominal) content interrogatives normally or frequently occur in situ (i.e. in the normal position for a non-interrogative NP in the same participant role)?	1: present, 0: absent	This question is concerned with the use of in-situ content interrogative nominals as a general question construction. This question should be answered yes (1) if questions formed with in-situ interrogatives are pragmatically unmarked and are used commonly (e.g. not only in restrictive contexts such as echo questions or constructions with multiple interrogatives).	0		Souag (2010:454)	Content interrogatives occur clause-initially.	pronoun	interrogation	word order	1	GB326		
Can the relative clause follow the noun?	1: present, 0: absent		1		Souag (2010:267)		sentence, noun, NP, clause	relativization	word order	1	GB327		
Can the relative clause precede the noun?	1: present, 0: absent		0		Souag (2010:267)		sentence, noun, NP, clause	relativization	word order	1	GB328		
Are there internally-headed relative clauses?	1: present, 0: absent		0		Souag (2010:267)		sentence, clause	relativization	affixation and cliticization, infixation, specialized construction	1	GB329		
Are there correlative relative clauses?	1: present, 0: absent		0		Souag (2010:267-274)		sentence, clause	relativization	affixation and cliticization, infixation, specialized construction	1	GB330		
Are there adjoined relative clauses?	1: present, 0: absent		0		Souag (2010:267-274)		sentence, clause	relativization	affixation and cliticization, infixation, specialized construction	1	GB331		
Are there double-headed relative clauses?	1: present, 0: absent		0		Souag (2010:267-274)		sentence, clause	relativization	affixation and cliticization, infixation, specialized construction	1	GB332		
Is there a decimal counting system?	1: present, 0: absent		1		Vycichl (2005:213-215)		numeral	quantification	paradigm	1	GB333		
Is there synchronic evidence for any element of a quinary counting system?	1: present, 0: absent		0		Vycichl (2005:213-215); Souag (2013:112); Lameen Souag (p.c. 2023)	Siwi has a decimal numeral system for normal numbers. There is an additional cryptic/argot quinary numeral system.	numeral	quantification	paradigm	1	GB334		JR
Is there synchronic evidence for any element of a vigesimal counting system?	1: present, 0: absent		0		Vycichl (2005:213-215)		numeral	quantification	paradigm	1	GB335		
Is there a body-part tallying system?	1: present, 0: absent		0		Vycichl (2005:213-215)		numeral	quantification	paradigm	1	GB336		
			0		Souag (2013:183-199); Lameen Souag (p.c. 2023)		auxiliary	TAM, mood, modality			GB119		JR
			0		Souag (2013:183-199); Lameen Souag (p.c. 2023)		auxiliary	TAM, aspect			GB120		JR
			0		Souag (2013:183-199); Lameen Souag (p.c. 2023)		auxiliary	TAM, tense			GB121		JR
			0		Souag (2013:177-180, 183-199, 209-214); Lameen Souag (p.c. 2023)		verb, pronoun, particle, auxiliary, index	person, valency change, TAM, passive, antipassive, tense, aspect, mood, modality, negation, argument marking, core arguments			GB400		JR
			1		Souag (2013:177); Lameen Souag (p.c. 2023)		verb	valency change, verb classification			GB401		JR
			0		Souag (2013:in passim); Lameen Souag (p.c. 2023)		verb	verb classification, TAM, tense, aspect, mood, modality, negation, argument marking, core arguments, oblique			GB402		JR
			1		Souag (2013:23, 181); Lameen Souag (p.c. 2023)	The verb for 'come' has a suppletive imperative 'hed' (vs. infinitive 'us/usəd').	verb	verb classification, TAM, tense, aspect, mood, modality, negation, argument marking, core arguments, oblique			GB403		JR
			0		Souag (2013:83pp.); Lameen Souag (p.c. 2023)	No overt argument flagging in Siwi.	noun, NP, case marker, adposition	argument marking, core arguments			GB408		JR
			0		Souag (2013:83pp.); Lameen Souag (p.c. 2023)	No overt argument flagging in Siwi.	noun, NP, case marker, adposition	argument marking, core arguments			GB409		JR
			1		Souag (2013:83pp.); Lameen Souag (p.c. 2023)	No overt argument flagging in Siwi.	noun, NP, case marker, adposition	argument marking, core arguments			GB410		JR
			0		Souag (2013:46); Lameen Souag (p.c. 2023)		pronoun, index, verb	politeness, person			GB415		JR
			1		Souag (2013:223); Lameen Souag (p.c. 2023) 	There is an optional complementizer preposed complementizer in complements of verbs of thinking and knowing.	verb, index, complementizer, particle, clause	subordination			GB421		JR
			0		Souag (2013:223); Lameen Souag (p.c. 2023) 	There is an optional complementizer preposed complementizer in complements of verbs of thinking and knowing.	verb, index, complementizer, particle, clause	subordination			GB422		JR
			0		Vycichl (2005:207-208); Souag (2013:162); Lameen Souag (p.c. 2023) 	Nominal possession is generally marked with the genitive preposition 'n'. For inalienable nouns, the possessor noun is additionally marked with possessive pronominal suffixes. If the possessor is pronominal, the possessed noun is marked with possessive suffixes for both inalienable and alienable possession. These possessive suffixes are different for inalienable and alienable possession.	noun, NP, case marker, index	attributive possession, attribution, genitive			GB430		JR
			0		Vycichl (2005:207-208); Souag (2013:162); Lameen Souag (p.c. 2023) 	Nominal possession is generally marked with the genitive preposition 'n'. For inalienable nouns, the possessor noun is additionally marked with possessive pronominal suffixes. If the possessor is pronominal, the possessed noun is marked with possessive suffixes for both inalienable and alienable possession. These possessive suffixes are different for inalienable and alienable possession.	noun, NP, case marker, index	attributive possession, attribution, genitive			GB431		JR
			0		Vycichl (2005:207-208); Souag (2013:162); Lameen Souag (p.c. 2023) 	Nominal possession is generally marked with the genitive preposition 'n'. For inalienable nouns, the possessor noun is additionally marked with possessive pronominal suffixes. If the possessor is pronominal, the possessed noun is marked with possessive suffixes for both inalienable and alienable possession. These possessive suffixes are different for inalienable and alienable possession.	noun, NP, case marker, index	attributive possession, attribution, genitive			GB432		JR
			1		Vycichl (2005:218-219); Souag (2013:162); Lameen Souag (p.c. 2023) 	For inalienable nouns, nominal possession is marked with possessive pronominal suffixes on the possessor noun. Pronominal possession is marked with short pronominal suffixes on the possessor noun.	noun, NP, case marker, index	attributive possession, attribution, genitive			GB433		JR
			0		Souag (2013:183-199); Lameen Souag (p.c. 2023)		particle	TAM, mood, modality			GB519		JR
			0		Souag (2013:183); Lameen Souag (p.c. 2023)	Progressive aspect can be marked with an adverb, but it is not used obligatorily.	particle	TAM, aspect			GB520		JR
			0		Souag (2013:183); Lameen Souag (p.c. 2023)	Past tense can be marked using an adverb, but it is not used obligatorily.	particle	TAM, tense			GB521		JR
			1		Souag (2013:45pp.); Lameen Souag (p.c. 2023)		pronoun, NP, clause	predication			GB522		JR
